latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.72904,-1.88801,SABEL COSMETICS LIMITED,www.sabel.org.uk,HX1 4TZ,Total Exemption Small,"Perfumes, toilet preparations"
53.69731,-1.7713,JOHN DRURY & CO. LIMITED,www.john-drury.co.uk,HD6 1LY,Total Exemption Small,"Soap and detergents, cleaning"
53.6864,-1.83384,ASPIRE CRAFTS LTD,www.kanbancrafts.com,HX5 9AS,Total Exemption Small,Paper stationery
53.70811,-1.61162,MAIN CHEMICAL CO LIMITED,www.rishworth-school.co.uk,WF16 0XQ,Total Exemption Small,"Soap and detergents, cleaning"
53.62308,-1.88541,"COLE & WILSON,LIMITED",www.colewilson.co.uk,HD7 5AT,Small company,"Soap and detergents, cleaning"
53.94266,-1.13056,CHARLIE BIG LIMITED,,YO24 3LT,Not Available,Paper stationery
53.79682,-1.4265,DS SMITH PAPER LIMITED,www.dssmithrecycling.com,LS15 8ZB,Full accounts,"Paper, paperboard"
53.59689,-1.28095,CDM LABELS LIMITED,www.cdmlabels.co.uk,WF9 2SP,Total Exemption Small,Paper stationery
53.87613,-1.89614,HUMBER PRINT & PACKAGING LIMITED,www.humberprint.co.uk,BD21 4BZ,Total Exemption Small,"Paper, paperboard"
53.74327,-1.64156,UNILEVER UK LIMITED,www.unilever.com,WF17 9TB,Full accounts,"Soap and detergents, cleaning"
53.813751,-1.763038,CRAFT UK LIMITED,www.craftuk.net,BD2 1AX,Total Exemption Small,Paper stationery
53.71905,-0.4239,AMANDA ROSE DESIGNS LTD,,HU13 0DZ,Total Exemption Small,Paper stationery
54.55688,-1.31789,IN-PRINT TEESSIDE  LTD,www.inprintteesside.tel,TS18 3QZ,Total Exemption Small,Paper stationery
53.82067,-1.72382,MIDAS PAPER CONVERTERS LIMITED,www.vanguardpaper.com,BD2 2EE,Group,Paper stationery
53.75627,-1.50004,HONESTY SKINCARE LIMITED,,LS26 0ZD,Micro-entity accounts,"Perfumes, toilet preparations"
53.83655,-1.76944,REGENT ENVELOPES LIMITED,www.regentenvelopes.com,BD17 7SF,Total Exemption Small,Paper stationery
53.90817,-1.93684,THINK OFFICE SUPPLIES LIMITED,www.thinkofficesupplies.co.uk,BD20 0EE,Total Exemption Small,Paper stationery
53.79248,-0.35299,UNILEVER UK LIMITED,www.unilever.com,HU7 3DB,Full accounts,"Soap and detergents, cleaning"
53.78025,-1.07393,TAYLOR MCLURE MAINTENANCE PRODUCTS LIMITED,,YO8 4AU,Not Available,"Soap and detergents, cleaning"
53.6549,-1.76709,UNILEVER UK LIMITED,www.unilever.com,HD1 6PG,Full accounts,"Soap and detergents, cleaning"
53.76463,-0.35732,HACKETT & WILLIAMSON LIMITED,www.hacketts-print.co.uk,HU5 2NX,Total Exemption Small,Paper stationery
53.92712,-0.95356,TAYROL LIMITED,www.tayrol.co.uk,YO41 4AR,Total Exemption Small,Paper stationery
53.74755,-1.89304,PARSO TRADING LTD,,HX2 8EG,Total Exemption Small,Tobacco products
54.57308,-1.23645,SCENTZ OF SMELL LTD,,TS1 2JH,Not Available,"Perfumes, toilet preparations"
53.75572,-1.95172,BEEHIVE GREETING CARDS LTD,,HX2 7TR,Total Exemption Small,Paper stationery
53.52616,-1.12285,FUTUREPRINT (NORTHAMPTON) LIMITED,www.futureprint-npton.com,DN1 2ES,Total Exemption Small,Paper stationery
53.679401,-1.500734,MAURUS CHEMICAL AG,,WF1 5PF,Not Available,"Soap and detergents, cleaning"
53.63802,-1.83854,PRETTY LITTLE TREAT CO LTD,,HD3 4QS,Micro-entity accounts,"Soap and detergents, cleaning"
53.93899,-1.50543,TONY MALEEDY HAIR LTD.,,HG3 1HD,Not Available,"Soap and detergents, cleaning"
53.73782,-0.35125,THE PROMOTION COMPANY (HULL) LIMITED,www.thepromotioncompany.co.uk,HU3 2AA,Total Exemption Small,Paper stationery
53.5455,-1.14665,ANNE NORTHERN BOTANICALS LTD,,DN5 0AA,Total Exemption Small,"Perfumes, toilet preparations"
53.62595,-1.86054,SUNDROPS LIMITED,www.thorntonross.com,HD7 5QH,Full accounts,"Soap and detergents, cleaning"
53.84398,-1.62939,STEPHENSON GROUP LTD,www.stephensongroup.co.uk,LS18 5PU,Medium Company,"Soap and detergents, cleaning"
53.75026,-0.44355,FIVE O'CLOCK PRODUCTS LIMITED,,HU10 7LP,Micro-entity accounts,"Perfumes, toilet preparations"
53.84816,-0.41035,SONOCO LIMITED,www.sonoco-trident.com,HU17 0LS,Full accounts,"Paper, paperboard"
53.75906,-0.28881,KOORAX LTD,,HU9 3PS,Not Available,"Soap and detergents, cleaning"
53.75525,-0.33663,THE BINDER AND BOX COMPANY LTD,www.binderandbox.com,HU2 0LN,Total Exemption Small,Paper stationery
54.65991,-1.21223,NS INDUSTRIES LTD,,TS25 1UD,Not Available,"Soap and detergents, cleaning"
53.7967,-1.55331,CCA OCCASIONS LIMITED,www.christmas-connections.co.uk,LS1 2AY,Small company,Paper stationery
53.83023,-1.45681,UNILEVER UK LIMITED,www.unilever.com,LS14 2AR,Full accounts,"Soap and detergents, cleaning"
53.78186,-0.41569,GRAPHIC POWER LIMITED,www.graphicpower.co.uk,HU16 4BB,Total Exemption Small,Paper stationery
53.71929,-1.86834,SHERPRINT LTD,,HX1 2TE,Not Available,Paper stationery
53.79487,-1.76911,EYETAG LIMITED,,BD7 1JD,Total Exemption Full,Paper stationery
53.87613,-1.89614,FIKKERTS LIMITED,www.fikkerts.com,BD21 4BZ,Total Exemption Small,"Perfumes, toilet preparations"
54.00223,-1.57183,KAILIZ LTD,,HG3 2XD,Total Exemption Small,Paper stationery
54.0316,-0.9406,LONETREE CARDS LTD,,YO60 7SD,Total Exemption Small,"Paper, paperboard"
53.56069,-0.13841,SYNTEC MANUFACTURING LIMITED,www.syntecchemicals.com,DN37 9RQ,Total Exemption Small,"Soap and detergents, cleaning"
53.83963,-0.41461,APPLIED LABEL SOLUTIONS LTD,www.appliedlabels.co.uk,HU17 0PT,Total Exemption Small,Paper stationery
53.85673,-1.74353,UK ENVELOPE CENTRE LIMITED,www.ukenvelopecentre.co.uk,BD17 7QD,Total Exemption Small,Paper stationery
53.79616,-0.35829,SONOCO LIMITED,www.sonoco-trident.com,HU7 3AP,Full accounts,"Paper, paperboard"
53.85939,-1.88545,TAPING APPLICATIONS LIMITED,,BD21 4SA,Total Exemption Small,Paper stationery
53.7669,-1.57695,ROBERT MCBRIDE LTD,www.mcbride.co.uk,LS11 0LU,Full accounts,"Soap and detergents, cleaning"
53.78523,-1.73925,CHRISTEYNS UK LTD,www.christeyns.co.uk,BD4 7EA,Full accounts,"Soap and detergents, cleaning"
54.70971,-1.23956,CB TRADE SOLUTIONS LTD,,TS24 9NT,Not Available,Paper stationery
53.75384,-0.32244,RECKITT BENCKISER HEALTHCARE (UK) LIMITED,www.refluxadvice.co.uk,HU8 7DS,Full accounts,"Household, sanitary, toilet goods"
53.80395,-1.80247,S ORGANICS LIMITED,,BD8 0AG,Not Available,"Soap and detergents, cleaning"
53.52682,-0.03773,PROTOLINC LIMITED,www.protolinc.co.uk,DN36 4SX,Micro-entity accounts,"Soap and detergents, cleaning"
54.61676,-1.28787,KATHY ROSE LIMITED,,TS23 3DH,Not Available,Paper stationery
53.72798,-0.42527,TAYLORS VAPE LIMITED,,HU13 9JQ,Not Available,Tobacco products
53.91499,-0.17948,EMPACK LTD.,,HU18 1EQ,Total Exemption Small,"Paper, paperboard"
54.26097,-0.92209,JEAN BARRINGTON LTD,www.jeanbarrington.co.uk,YO62 6QR,Total Exemption Small,Paper stationery
53.78354,-0.40718,JACEE PRINT AND PUBLICITY LIMITED,www.jaceeprint.co.uk,HU16 4LL,Total Exemption Small,Paper stationery
53.74307,-0.3372,LUSH LTD.,www.lush.co.uk,HU1 2EX,Full accounts,"Perfumes, toilet preparations"
53.65776,-1.57188,AMLICO LTD,www.pcsamlico.co.uk,WF4 5NW,Total Exemption Small,"Household, sanitary, toilet goods"
53.56909,-1.79021,THE AUSTONLEY SOAP COMPANY LTD,,HD9 2JT,Total Exemption Small,"Soap and detergents, cleaning"
53.81221,-1.76113,PRIMA YORKSHIRE LIMITED,www.primayorks.co.uk,BD2 1QN,Total Exemption Full,Paper stationery
53.76773,-1.84331,CONITEX SONOCO UK LIMITED,,BD13 1QA,Total Exemption Full,"Paper, paperboard"
54.43336,-0.53585,BLAZERGOLD LIMITED,,YO22 4RR,Total Exemption Full,"Perfumes, toilet preparations"
