latitude,longitude,name,url,post code,company size,subactivity
53.93535,-0.40064,BLUE KELD SPRINGS LIMITED,www.bluekeld.co.uk,YO25 9RE,Small company,Soft drinks; waters
53.77517,-1.72517,SALAMANDER BREWING COMPANY LIMITED,www.salamanderbrewingcompany.co.uk,BD4 9PH,Total Exemption Small,Beer
53.58677,-1.6289,SHEPLEY SPRING LIMITED,www.shepleyspring.co.uk,HD8 8WR,Full accounts,Soft drinks; waters
54.40349,-1.73991,NORTHERN PURE LIMITED,,DL10 4DR,Total Exemption Small,Soft drinks; waters
54.2907,-0.84092,THE GREAT YORKSHIRE BREWERY LIMITED,www.thegreatyorkshirebrewery.co.uk,YO18 8HH,Total Exemption Small,Beer
54.02198,-1.15724,TREBOOM LIMITED,www.treboom.co.uk,YO30 1AA,Total Exemption Small,Beer
53.79816,-1.37497,QUIRKY ALES LTD,,LS25 2HG,Micro-entity accounts,Beer
53.67845,-1.70793,BRAHMAPOOTRA TEA COMPANY LIMITED,,WF14 9DQ,Total Exemption Small,Beverage
53.72575,-0.56552,HUMBER BREWING COMPANY LIMITED,,HU15 1TW,Not Available,Beer
53.71658,-1.73248,PARTNERS BREWERY LIMITED,www.partnersbrewery.co.uk,WF15 8HQ,Total Exemption Small,Beer
53.98005,-1.13268,ICHAI LIMITED,www.ichaitea.com,YO26 6RW,Total Exemption Small,Tea and Coffee
53.74189,-0.37311,GENE POOL BREWING LTD,,HU3 6BH,Not Available,Beer
53.66095,-1.81684,CALIBRE COCKTAILS LTD,,HD3 3NS,Not Available,Spirits
53.82505,-1.034319,BARCELONA SPIRIT BRANDS UK LIMITED,,YO19 6QR,Not Available,Spirits
53.81275,-1.54213,THE RIDGESIDE BREWING COMPANY LTD,,LS7 2AW,Micro-entity accounts,Beer
53.83271,-1.63524,DOGBURGS LTD,,LS18 4RZ,Micro-entity accounts,Tea and Coffee
53.98752,-1.56378,THIRSTY PLANET LIMITED,www.thirsty-planet.com,HG2 0QB,Full accounts,Soft drinks; waters
53.94139,-2.014819,GREYHAWK BREWERY LTD,,BD23 2TZ,Total Exemption Small,Beer
53.666,-1.53045,RHUCELLO LIMITED,,WF2 8JS,Not Available,Spirits
53.59016,-1.69952,SUMMER WINE BREWERY LIMITED,www.summerwinebrewery.co.uk,HD8 8BJ,Total Exemption Small,Beer
53.91726,-1.14461,EOFORWIC DISTILLING COMPANY LIMITED,,YO23 3SW,Not Available,Spirits
53.598,-0.39217,TOM WOOD BEERS LTD,www.tom-wood.com,DN38 6AA,Total Exemption Small,Beer
53.5999,-1.83063,BEWLEY'S TEA AND COFFEE UK LIMITED,www.grumpymule.co.uk,HD9 4EP,Full accounts,Tea and Coffee
54.00134,-1.44661,ROOSTERS BREWERY LIMITED,www.mksm-engineering.com,HG5 8LJ,Total Exemption Small,Beer
53.91977,-1.13917,AINSTY ALES LIMITED,,YO23 3UJ,Total Exemption Small,Beer
53.96054,-1.08627,TREBOOM LIMITED,www.treboom.co.uk,YO1 7DN,Total Exemption Small,Beer
53.6767,-1.86316,WHITEHEADS (1858) LIMITED,www.whiteheads1858.co.uk,HX4 9BH,Total Exemption Small,Tea and Coffee
53.70655,-1.01729,LITTLE BLACK DOG BEER COMPANY LTD,,DN14 9LZ,Not Available,Beer
53.72774,-1.98162,FLOWER OF LIFE LTD,,HX7 5HZ,Total Exemption Small,Soft drinks; waters
54.08486,-0.20088,BRIDLINGTON BREWING CO. LIMITED,,YO16 4LZ,Total Exemption Small,Beer
53.71658,-1.73248,BOB'S BREWING COMPANY LIMITED,,WF15 8HQ,Total Exemption Small,Beer
54.06488,-1.475,THE GOURMET WATER COMPANY LIMITED,,HG3 3SZ,Total Exemption Small,Soft drinks; waters
53.89146,-0.23792,WHITE ROSE CIDER LIMITED,https://www.whiterosecider.co.uk/,HU11 5QJ,Not Available,Cider
53.76301,-0.31394,THE HULL CRAFT BREWERY LTD,,HU8 8PF,Not Available,Beer
53.72536,-1.72496,MILL VALLEY BREWERY LIMITED,,BD19 3AF,Not Available,Beer
53.42698,-1.25875,DON VALLEY BREWERY LIMITED,,S66 2XB,Total Exemption Small,Beer
54.52914,-1.3564,HEALTHY THIRST DRINKS LIMITED,www.thorncroftdrinks.co.uk,TS16 0RB,Total Exemption Small,Soft drinks; waters
54.52914,-1.3564,RSM SOLUTIONS (NE) LIMITED,www.rsm-solutions.co.uk,TS16 0RB,Total Exemption Small,Spirits
53.97548,-1.56692,PEDAL POWER HARROGATE LIMITED,,HG3 1GY,Total Exemption Small,Beer
53.65694,-1.78543,MAGIC ROCK BREWING COMPANY LTD,www.magicrockbrewing.com,HD1 5EB,Total Exemption Small,Beer
53.83315,-1.82284,BRIDGE HOUSE BREWERY LIMITED,www.bridgehousebrewery.co.uk,BD16 1PY,Total Exemption Small,Beer
54.17424,-1.48283,STEENBERGS LIMITED,www.steenbergs.co.uk,HG4 5GZ,Total Exemption Small,Tea and Coffee
53.44685,-1.34892,CHANTRY BREWERY LTD,www.chantrybrewery.com,S62 6NR,Total Exemption Small,Beer
53.73723,-1.87006,OATES BREWING COMPANY LIMITED,www.oatesbrewing.co.uk,HX3 6TN,Total Exemption Small,Beer
54.46046,-1.70462,50 DEGREES NORTH LIMITED,,DL10 5NY,Micro-entity accounts,Spirits
53.8059,-1.65107,BRITVIC SOFT DRINKS LIMITED,www.premierexpress.co.uk,LS13 4HT,Full accounts,Soft drinks; waters
53.83315,-1.82284,THE BRIDGEHOUSE PUB COMPANY LTD,www.bridgehousebrewery.co.uk,BD16 1PY,Total Exemption Small,Beer
54.57371,-1.2364,ROUNTON COFFEE LIMITED,https://www.rountoncoffee.co.uk/,TS1 2LL,Total Exemption Small,Tea and Coffee
53.77317,-1.37742,OLD LEODENSIAN LTD,,LS25 7DA,Not Available,Tea and Coffee
53.72728,-2.1165,MILTON AND MORTIMER LTD,,OL14 8HP,Not Available,Beer
54.09165,-0.6602,TURNING POINT BREWING COMPANY LIMITED,,YO17 8BN,Not Available,Beer
53.8946,-1.99669,RECOIL BREWING COMPANY LTD,,BD20 7QR,Not Available,Beer
53.74052,-0.4941,THE KINGSTON UPON HULL LIQOUR COMPANY LIMITED,,HU14 3QF,Not Available,Spirits
54.5288,-1.54966,3PW (2016) LTD,,DL1 1GY,Not Available,Beer
53.81563,-1.52556,EXIGEN ELIXIR LTD,,LS7 4ED,Not Available,Soft drinks; waters
54.20764,-2.093179,CRAY BREWING COMPANY LTD,,BD23 5JB,Total Exemption Small,Beer
53.80064,-1.55064,BENTLEY'S YORKSHIRE BREWERIES (1828) LIMITED,,LS1 3AJ,Total Exemption Small,Beer
53.63894,-1.72401,LORDS BREWING COMPANY LTD,,HD8 0FX,Not Available,Beer
53.77738,-0.34664,ATOM BREWING CO LIMITED,www.atombeers.com,HU7 0YF,Total Exemption Small,Beer
53.7699,-1.83191,REJUVENATION WATER LTD,,BD13 1BY,Total Exemption Small,Soft drinks; waters
53.69242,-1.029069,WETHERELLS CONTRACTS LIMITED,www.oldmillbrewery.co.uk,DN14 9HU,Total Exemption Small,Beer
53.78347,-1.06802,WETHERELLS CONTRACTS LIMITED,www.oldmillbrewery.co.uk,YO8 4PD,Total Exemption Small,Beer
53.679401,-1.500734,CREFELDER LTD.,,WF1 5PF,Total Exemption Small,Tea and Coffee
54.06488,-1.475,CHILLAX DRINKS LIMITED,,HG3 3SZ,Total Exemption Small,Soft drinks; waters
53.5354,-1.04594,PAN EUROPEAN FOODS LIMITED,,DN3 3EE,Total Exemption Small,"Fruit, vegetable juice"
53.62086,-1.88635,EMPIRE BREWING LTD,www.empirebrewing.com,HD7 5HA,Total Exemption Small,Beer
53.73702,-1.87192,OATES BREWING COMPANY LIMITED,www.oatesbrewing.co.uk,HX3 6TA,Total Exemption Small,Beer
53.58983,-1.2805,CHIN CHIN BREWING COMPANY LTD,,WF9 2WJ,Not Available,Beer
53.85889,-1.91546,"TIMOTHY TAYLOR & CO.,LIMITED",www.timothytaylor.co.uk,BD21 1AW,Full accounts,Beer
53.54888,-1.31425,UNDER THE STAIRS BREWERY LTD,,S63 0LL,Micro-entity accounts,Beer
53.71503,-1.38699,THE REVOLUTIONS BREWING COMPANY LIMITED,www.revolutionsbrewing.co.uk,WF10 5PX,Total Exemption Small,Beer
53.80744,-1.56055,PUMP N GRIND LTD.,https://pumpngrind.co.uk/,LS2 9DF,Micro-entity accounts,Tea and Coffee
53.90546,-1.41503,COLLINGHAM ALES LTD,,LS22 5AA,Total Exemption Full,Beer
54.59557,-1.5639,STEAM MACHINE BREWING COMPANY LTD,,DL5 6JP,Total Exemption Small,Beer
53.79073,-1.55336,NORTHERN MONK BREWING CO. LTD,www.northernmonkbrewco.com,LS11 9YJ,Total Exemption Small,Beer
53.69656,-1.76351,EXPRESS CATERING SUPPLIES LIMITED,,HD6 1QF,Total Exemption Small,Tea and Coffee
54.11344,-0.17136,MUNTONS PLC,www.muntons.com,YO15 1DY,Full accounts,Malt
54.22459,-1.65811,THE BLACK SHEEP BREWERY PLC,www.blacksheepbrewery.co.uk,HG4 4EN,Full accounts,Beer
53.96534,-1.30647,RUDGATE BREWERY LIMITED,www.rudgatebrewery.co.uk,YO26 7QF,Total Exemption Small,Beer
53.64833,-1.7815,LUDDITE BREWING COMPANY LIMITED,,HD1 1PA,Not Available,Beer
53.82777,-1.90082,OLD SPOT BREWERY LIMITED,www.oldspotbrewery.com,BD13 5HN,Total Exemption Small,Beer
53.98774,-2.11078,COPPER DRAGON BREWERY LIMITED,,BD23 3PW,Not Available,Beer
54.62818,-1.35534,CONSETT ALE WORKS LIMITED,,TS22 5SH,Micro-entity accounts,Beer
53.74417,-2.08217,HEBDEN BRIDGE BREWING COMPANY LIMITED,,HX7 7JB,Total Exemption Small,Beer
53.97864,-1.52081,SPIRIT OF HARROGATE LIMITED,,HG2 8PB,,Spirits
53.7389,-0.20022,ULLAGE ALE LTD,,HU12 8HE,Not Available,Beer
53.99109,-1.53351,YORKSHIRE HEART LIMITED,www.yorkshireheart.com,HG1 5PR,Total Exemption Small,Wine
53.97132,-2.05276,THE TEMPERANCE SPIRIT COMPANY LTD,,BD23 3LL,Total Exemption Small,Soft drinks; waters
53.93038,-0.7775,BONE MACHINE BREWING COMPANY LIMITED,,YO42 2PX,Not Available,Beer
53.58572,-1.69939,SHEPLEY SPRING LIMITED,www.shepleyspring.co.uk,HD8 8EA,Full accounts,Soft drinks; waters
53.73586,-2.04691,THE SLIGHTLY FOXED BREWING COMPANY LIMITED,,HX7 6PS,Total Exemption Small,Beer
53.49429,-1.2934,WETHERELLS CONTRACTS LIMITED,www.oldmillbrewery.co.uk,S64 9DW,Total Exemption Small,Beer
53.64494,-1.49258,ANNUITY ALES LIMITED,,WF2 6DD,Total Exemption Full,Beer
54.48882,-0.60626,WHITBY BREWERY LTD,www.whitby-brewery.com,YO22 4JR,Micro-entity accounts,Beer
53.79832,-1.50324,NOMADIC BREWING COMPANY LTD,,LS9 9ES,Not Available,Beer
54.46778,-1.19591,JAMES HERRIOT BREWERY LTD,,TS9 5BL,Not Available,Beer
53.79297,-1.54113,CARLSBERG UK LIMITED,www.carlsberg.co.uk,LS10 1JQ,Full accounts,Beer
54.5298,-1.56623,SAINTS ROW BREWING CO. LTD.,,DL3 6RR,Not Available,Beer
53.78785,-1.07248,"SELBY (MIDDLEBROUGH) BREWERY,LIMITED",,YO8 3LL,Total Exemption Small,Beer
53.70625,-1.38792,BRITVIC SOFT DRINKS LIMITED,www.premierexpress.co.uk,WF6 1TN,Full accounts,Soft drinks; waters
53.76947,-1.54541,THE HARROGATE CIDER COMPANY LIMITED,,LS11 5UU,Not Available,Cider
53.90427,-1.98782,NAYLOR'S BREWERY LTD,www.naylorsbrewery.co.uk,BD20 7DT,Total Exemption Small,Beer
53.74297,-0.33774,NORWEGIAN GLACIER WATER LIMITED,www.isbrewater.no,HU1 2LD,Total Exemption Small,Soft drinks; waters
53.85453,-1.91568,GOOSE EYE BREWERY LIMITED,www.goose-eye-brewery.co.uk,BD21 5AX,Total Exemption Small,Beer
54.32939,-1.8259,WENSLEYDALE BREWERY (2013) LIMITED,www.wensleydalebrewery.co.uk,DL8 5QH,Total Exemption Small,Beer
54.11775,-0.12347,TROUGH BREWERY LIMITED,,YO15 1JX,Not Available,Beer
54.27796,-0.42674,ASYLUM HARBOUR BREWING CO LTD,,YO12 5BU,Total Exemption Small,Beer
53.71863,-1.87302,NORLAND BEERS LTD,,HX1 1EB,Total Exemption Small,Beer
54.36377,-1.37114,MOOR FRESH COFFEE COMPANY LIMITED,https://moorfreshcoffee.co.uk/,DL6 2TB,Micro-entity accounts,Tea and Coffee
53.79166,-1.5527,MAKE MINE A BUILDERS LIMITED,www.makemineabuilders.com,LS11 5WD,Full accounts,Tea and Coffee
53.61835,-1.7989,THE BOSUN'S BREWING COMPANY LIMITED,,HD4 7NR,Total Exemption Small,Beer
53.88177,-1.9243,DENT BREWERY LIMITED,www.dentbrewery.co.uk,BD20 6HN,Total Exemption Small,Beer
53.76624,-0.35027,THE BLENDING ROOM LTD,www.theblendingroom.co.uk,HU5 1PT,Total Exemption Full,Tea and Coffee
53.74691,-0.86214,BIRD BRAIN BREWERY LTD,,DN14 7SL,Total Exemption Small,Beer
54.58952,-1.01891,THE LICKERISH TOOTH LTD,,TS11 7BE,Total Exemption Small,Spirits
53.75121,-0.33193,FINLAY HULL LIMITED,www.finlays.net,HU8 7AF,Full accounts,Tea and Coffee
54.00924,-1.47325,ROOSTERS BREWERY LIMITED,www.mksm-engineering.com,HG5 9AZ,Total Exemption Small,Beer
53.47231,-1.25412,HILLTOP BREWING COMPANY LIMITED,,DN12 2AY,Not Available,Beer
54.00312,-0.43457,AUSTINSMICROBREWERY LIMITED,,YO25 6PZ,Total Exemption Small,Beer
54.24539,-0.77588,GREAT BRITISH BREWORKS LTD,,YO18 7AL,Not Available,Beer
53.88236,-1.26414,HEINEKEN UK LIMITED,www.heineken.co.uk,LS24 9SA,Full accounts,Beer
53.64665,-0.74707,AXHOLME BREWING COMPANY LIMITED,,DN17 4QT,Total Exemption Small,Beer
53.6408,-1.86072,GOLCAR BREWERY LIMITED,www.golcarbrewery.co.uk,HD7 4NB,Total Exemption Small,Beer
54.26683,-0.42093,SCARBOROUGH BREWERY LIMITED,www.scarboroughbrewery.co.uk,YO12 4HA,Total Exemption Small,Beer
54.13473,-1.40356,BREWING AND DISTILLING COMPANY LIMITED,www.wearebad.co,YO7 3DH,Micro-entity accounts,Beer
53.98752,-1.56378,HARROGATE SPRING WATER LIMITED,www.harrogatespringwater.co.uk,HG2 0QB,Full accounts,Soft drinks; waters
53.61785,-1.80625,JACQSON LIMITED,,HD4 7LA,Not Available,Spirits
53.52863,-1.12318,DONCASTER BREWERY LIMITED,www.doncasterlimousine.co.uk,DN1 2NR,Total Exemption Small,Beer
54.68162,-1.21275,CAMERONS BREWERY LIMITED,www.cameronsbrewery.com,TS24 7QS,Group,Beer
53.86134,-0.37902,CHEQUERS MICROPUB LIMITED,,HU17 9RH,Total Exemption Small,Beer
53.91993,-1.64879,BARFORD IMPORTS LIMITED,,LS21 2JX,Total Exemption Small,Spirits
53.8201,-1.6343,ZAPATO BREWERY LTD.,,LS13 1EY,Total Exemption Small,Beer
54.51184,-1.32879,ROUNDHILL BREWERY LIMITED,,TS17 5HD,Not Available,Beer
53.74993,-0.3376,TTH(YORK) LIMITED,,HU2 8EB,Micro-entity accounts,Cider
53.92475,-1.80103,WHARFEDALE BREWERY LIMITED,,LS29 8QH,Total Exemption Full,Beer
53.828,-1.53763,NORTH BREWING COMPANY LIMITED,www.cflnorth.co.uk,LS7 3PD,Total Exemption Small,Beer
53.59123,-1.68701,SMALL WORLD BEERS LTD,www.smallworldbeers.com,HD8 8LU,Total Exemption Full,Beer
54.57331,-1.20534,TRUEFITT BREWING COMPANY LTD,,TS3 6QL,Total Exemption Small,Beer
53.92712,-0.95356,THE HOP STUDIO LIMITED,www.thehopstudio.com,YO41 4AR,Total Exemption Full,Beer
54.53724,-0.77537,WHITBY GIN LIMITED,,TS13 5HA,Not Available,Spirits
54.27987,-0.40347,NORTH RIDING BREWERY LIMITED,,YO11 2JT,Total Exemption Small,Beer
54.31397,-1.81945,YORKSHIRE DALES BREWING COMPANY LIMITED,,DL8 5GA,Total Exemption Small,Beer
53.83623,-1.55838,THE MEANWOOD BREWERY LTD,https://themeanwoodbrewery.com/,LS6 4PL,Not Available,Cider
54.28877,-1.58735,MASONS YORKSHIRE GIN LTD,www.masonsyorkshiregin.com,DL8 1BZ,Total Exemption Small,Spirits
54.15867,-0.35216,WOLD TOPPERS LIMITED,www.woldtopbrewery.co.uk,YO25 3HS,Total Exemption Small,Beer
53.66788,-1.59038,OSSETT BREWING COMPANY LIMITED,www.ossett-brewery.co.uk,WF5 8ND,Total Exemption Small,Beer
53.96398,-2.01749,THE ADULT SOFT DRINKS COMPANY LIMITED,,BD23 1NL,Not Available,Soft drinks; waters
53.70673,-1.85887,HIGHLAND SPRING LIMITED,www.highlandspring.com,HX3 0PB,Group,Soft drinks; waters
53.69771,-1.2973,COTT BEVERAGES LIMITED,www.cott.com,WF8 2LH,Full accounts,Soft drinks; waters
54.00533,-1.07749,3 BIG DOGS LIMITED,,YO32 3HE,Not Available,Spirits
53.54988,-1.47497,GEEVES BREWERY LIMITED,,S70 1TL,Total Exemption Small,Beer
53.64842,-1.52428,MORTON COLLINS BREWING COMPANY LTD,,WF4 3BX,Not Available,Beer
53.95698,-1.09027,THE YORK BREWERY CO. LTD.,www.york-brewery.co.uk,YO1 6JT,,Beer
53.78361,-1.81979,WISHBONE BREWERY LIMITED,,BD14 6AZ,Total Exemption Small,Beer
53.67711,-1.14812,IMPRESSIVE JUICES LTD,,DN14 0JG,Total Exemption Small,"Fruit, vegetable juice"
53.99737,-1.47325,NORTH STAR COFFEE ROASTERS LIMITED,https://www.northstarroast.com/,HG5 8JP,Total Exemption Small,Tea and Coffee
53.96398,-2.01749,THE ADULT SOFT DRINKS COMPANY LIMITED,,BD23 1NL,Not Available,Soft drinks; waters
53.78918,-1.56664,THE LEEDS BREWERY COMPANY LIMITED,www.leedsbrewery.co.uk,LS11 9RU,Total Exemption Small,Beer
53.55294,-1.48654,THE ILKLEY BREWERY COMPANY LIMITED,www.ilkleybrewery.co.uk,S70 2SB,Total Exemption Small,Beer
53.51244,-1.13302,THE GREAT YORKSHIRE SPIRIT COMPANY LIMITED,,DN4 5FB,Not Available,Spirits
53.795874,-1.75438,BRADFORD BREWERY LIMITED,www.bradfordbrewery.com,BD1 3QS,Micro-entity accounts,Beer
54.0141,-0.38948,THE YORKSHIRE RUM COMPANY LIMITED,,YO25 4PA,Not Available,Spirits
54.49792,-1.57492,SCHOOLHOUSEBREWERY LTD,,DL2 2SD,Total Exemption Small,Beer
53.85275,-1.05152,BRASS CASTLE BREWERY LIMITED,,YO19 6ED,Total Exemption Small,Beer
53.6634,-1.75495,CONTINENTAL WINE & FOOD LIMITED,www.continental-food.co.uk,HD2 1YY,Full accounts,Wine
53.69591,-1.99222,LITTLE VALLEY BREWERY LIMITED,www.littlevalleybrewery.co.uk,HX7 5TT,Total Exemption Small,Beer
53.85972,-1.83296,YOUR GREEN DRINKS COMPANY LIMITED,,BD16 4AZ,Not Available,Soft drinks; waters
53.79532,-1.54549,PLAY LIMITED,,LS1 5DQ,Not Available,Beer
54.13889,-1.5186,QIMA COFFEE LTD,https://qimacoffee.com/,HG4 1TP,Not Available,Tea and Coffee
53.64101,-1.34685,BOOTHTOWN BREWERY CO LTD,,WF7 7AB,Not Available,Beer
54.22191,-1.65972,T.&R. THEAKSTON LIMITED,www.theakstons.co.uk,HG4 4YD,Full accounts,Beer
53.98591,-2.101,VYKING ENERGY LIMITED,,BD23 3SE,Not Available,Soft drinks; waters
54.54635,-1.57216,BEANIES THE FLAVOUR CO. LTD.,www.beaniesflavourco.co.uk,DL3 0PH,Total Exemption Small,Tea and Coffee
53.51244,-1.13302,SUTTON SPRING LIMITED,www.suttonspring.co.uk,DN4 5FB,Total Exemption Small,Soft drinks; waters
53.76201,-0.79391,THE RAWCLIFFE BREWERY COMPANY LIMITED,,DN14 7QP,Not Available,Beer
53.71879,-1.52141,COCA-COLA EUROPEAN PARTNERS GREAT BRITAIN LIMITED,www.ccep.com,WF2 0XR,Full accounts,Soft drinks; waters
53.7116,-1.50775,ELMFIELD BREWERY LIMITED,,WF1 2NS,Not Available,Beer
53.60559,-0.42205,LINCOLN & YORK LIMITED,www.lincolnandyork.com,DN20 0SP,Full accounts,Tea and Coffee
53.668,-1.84277,MILLTOWN BREWING CO. LTD,www.milltownbrewing.co.uk,HD3 3SZ,Total Exemption Small,Beer
54.52914,-1.3564,LIONS DEN BEERS LIMITED,,TS16 0RB,Total Exemption Small,Beer
54.5288,-1.54966,RICHMOND BREWING COMPANY LIMITED,www.richmondbrewing.co.uk,DL1 1GY,Total Exemption Small,Beer
53.85013,-0.92979,HALF MOON BREWERY LTD,www.halfmoonbrewery.co.uk,YO42 4PB,Total Exemption Small,Beer
54.40685,-1.7978,SWALEVALLEY SPRINGWATER LIMITED,www.swalevalleywater.co.uk,DL10 4SF,Total Exemption Small,Soft drinks; waters
53.73901,-0.33536,YORKSHIRE BREWING COMPANY LTD,,HU1 1TU,Total Exemption Small,Beer
53.58963,-1.19501,DANUM BREWING COMPANY LIMITED,,DN6 8PL,Total Exemption Small,Beer
54.12551,-0.81859,BAD SEED BREWERY LTD,www.badseedbrewery.com,YO17 6YD,Total Exemption Full,Beer
53.71912,-1.30455,STEAMPUNK BREWERY LIMITED,,WF10 3QW,Total Exemption Small,Beer
54.49925,-1.36167,YARM BREWERY LIMITED,,TS15 9QP,Not Available,Beer
53.71277,-1.50251,TRINITY BREWING COMPANY LIMITED,,WF1 2LR,Total Exemption Small,Beer
53.90999,-1.41729,COLLINGHAM ALES LTD,,LS22 5BU,Total Exemption Full,Beer
53.60256,-1.27507,FINLAY BEVERAGES LIMITED,www.finlays.net,WF9 2XS,Full accounts,Tea and Coffee
53.58995,-1.30994,BLUE KELD SPRINGS LIMITED,www.bluekeld.co.uk,WF9 3AP,Small company,Soft drinks; waters
54.06364,-1.71689,HARROGATE DISTILLERY LTD,,HG3 4HQ,Total Exemption Small,Spirits
