latitude,longitude,name,url,post.code,company.size
53.79532,-1.54549,PLAY LIMITED,,LS1 5DQ,Not Available
53.64101,-1.34685,BOOTHTOWN BREWERY CO LTD,,WF7 7AB,Not Available
54.22191,-1.65972,T.&R. THEAKSTON LIMITED,www.theakstons.co.uk,HG4 4YD,Full accounts
53.76201,-0.79391,THE RAWCLIFFE BREWERY COMPANY LIMITED,,DN14 7QP,Not Available
53.7116,-1.50775,ELMFIELD BREWERY LIMITED,,WF1 2NS,Not Available
53.668,-1.84277,MILLTOWN BREWING CO. LTD,www.milltownbrewing.co.uk,HD3 3SZ,Total Exemption Small
54.52914,-1.3564,LIONS DEN BEERS LIMITED,,TS16 0RB,Total Exemption Small
54.5288,-1.54966,RICHMOND BREWING COMPANY LIMITED,www.richmondbrewing.co.uk,DL1 1GY,Total Exemption Small
53.85013,-0.92979,HALF MOON BREWERY LTD,www.halfmoonbrewery.co.uk,YO42 4PB,Total Exemption Small
53.73901,-0.33536,YORKSHIRE BREWING COMPANY LTD,,HU1 1TU,Total Exemption Small
53.58963,-1.19501,DANUM BREWING COMPANY LIMITED,,DN6 8PL,Total Exemption Small
54.12551,-0.81859,BAD SEED BREWERY LTD,www.badseedbrewery.com,YO17 6YD,Total Exemption Full
53.71912,-1.30455,STEAMPUNK BREWERY LIMITED,,WF10 3QW,Total Exemption Small
54.49925,-1.36167,YARM BREWERY LIMITED,,TS15 9QP,Not Available
53.71277,-1.50251,TRINITY BREWING COMPANY LIMITED,,WF1 2LR,Total Exemption Small
53.90999,-1.41729,COLLINGHAM ALES LTD,,LS22 5BU,Total Exemption Full
